n,noise_model,seed,p_noise,q_eve,qber,n_sifted,n_errors
30000,depolarizing,1,0.1,0.8500000000000001,0.24029289265081286,14886,3577
30000,depolarizing,1,0.1,0.9,0.25587800618030365,14886,3809
30000,depolarizing,1,0.1,0.9500000000000001,0.26964933494558646,14886,4014
30000,depolarizing,1,0.1,1.0,0.27280666397957815,14886,4061
30000,depolarizing,1,0.11,0.0,0.052734112589009806,14886,785
30000,depolarizing,1,0.11,0.05,0.06684132742173855,14886,995
30000,depolarizing,1,0.11,0.1,0.0800080612656187,14886,1191
30000,depolarizing,1,0.11,0.15000000000000002,0.08793497245734247,14886,1309
30000,depolarizing,1,0.11,0.2,0.10257960499798469,14886,1527
30000,depolarizing,1,0.11,0.25,0.11003627569528417,14886,1638
30000,depolarizing,1,0.11,0.30000000000000004,0.12212817412333736,14886,1818
30000,depolarizing,1,0.11,0.35000000000000003,0.13690716109095794,14886,2038
30000,depolarizing,1,0.11,0.4,0.1466478570468897,14886,2183
30000,depolarizing,1,0.11,0.45,0.15672443907026737,14886,2333
30000,depolarizing,1,0.11,0.5,0.163509337632675,14886,2434
30000,depolarizing,1,0.11,0.55,0.16921940077925568,14886,2519
30000,depolarizing,1,0.11,0.6000000000000001,0.19212683057906757,14886,2860
30000,depolarizing,1,0.11,0.65,0.20173317210802097,14886,3003
30000,depolarizing,1,0.11,0.7000000000000001,0.21355636168211742,14886,3179
30000,depolarizing,1,0.11,0.75,0.22000537417707913,14886,3275
30000,depolarizing,1,0.11,0.8,0.23162703211070804,14886,3448
30000,depolarizing,1,0.11,0.8500000000000001,0.24277844954991268,14886,3614
30000,depolarizing,1,0.11,0.9,0.25890098078731694,14886,3854
30000,depolarizing,1,0.11,0.9500000000000001,0.27220206905817546,14886,4052
30000,depolarizing,1,0.11,1.0,0.27535939809216714,14886,4099
30000,depolarizing,1,0.12,0.0,0.057973935241166195,14886,863
30000,depolarizing,1,0.12,0.05,0.07167808679295982,14886,1067
30000,depolarizing,1,0.12,0.1,0.0843745801424157,14886,1256
30000,depolarizing,1,0.12,0.15000000000000002,0.09277173182856376,14886,1381
30000,depolarizing,1,0.12,0.2,0.1068789466612925,14886,1591
30000,depolarizing,1,0.12,0.25,0.115074566706973,14886,1713
30000,depolarizing,1,0.12,0.30000000000000004,0.12777106005642885,14886,1902
30000,depolarizing,1,0.12,0.35000000000000003,0.14120650275426574,14886,2102
30000,depolarizing,1,0.12,0.4,0.15108155313717586,14886,2249
