n,seed,p_noise,q_eve,qber,n_sifted,n_errors
50000,1,0.1,0.6000000000000001,0.18558141391561214,25051,4649
50000,1,0.1,0.65,0.1984351922078959,25051,4971
50000,1,0.1,0.7000000000000001,0.2027863159155323,25051,5080
50000,1,0.1,0.75,0.21971178795257673,25051,5504
50000,1,0.1,0.8,0.23575905153486887,25051,5906
50000,1,0.1,0.8500000000000001,0.23847351403137598,25051,5974
50000,1,0.1,0.9,0.24993014250928106,25051,6261
50000,1,0.1,0.9500000000000001,0.2617859566484372,25051,6558
50000,1,0.1,1.0,0.2695301584767075,25051,6752
50000,1,0.11,0.0,0.05444892419464293,25051,1364
50000,1,0.11,0.05,0.0641890543291685,25051,1608
50000,1,0.11,0.1,0.07372959163306854,25051,1847
50000,1,0.11,0.15000000000000002,0.0859047543012255,25051,2152
50000,1,0.11,0.2,0.10047503093688874,25051,2517
50000,1,0.11,0.25,0.11033491676978963,25051,2764
50000,1,0.11,0.30000000000000004,0.12195121951219512,25051,3055
50000,1,0.11,0.35000000000000003,0.1326493952337232,25051,3323
50000,1,0.11,0.4,0.14402618657937807,25051,3608
50000,1,0.11,0.45,0.1534868867510279,25051,3845
50000,1,0.11,0.5,0.16478384096443255,25051,4128
50000,1,0.11,0.55,0.1785557462775937,25051,4473
50000,1,0.11,0.6000000000000001,0.18865514350724522,25051,4726
50000,1,0.11,0.65,0.2017085146301545,25051,5053
50000,1,0.11,0.7000000000000001,0.20633906830066664,25051,5169
50000,1,0.11,0.75,0.22334437746996127,25051,5595
50000,1,0.11,0.8,0.23907229252325257,25051,5989
50000,1,0.11,0.8500000000000001,0.24098838369725759,25051,6037
50000,1,0.11,0.9,0.25264460500578817,25051,6329
50000,1,0.11,0.9500000000000001,0.26410123348369324,25051,6616
50000,1,0.11,1.0,0.27244421380384015,25051,6825
50000,1,0.12,0.0,0.05967825635703165,25051,1495
50000,1,0.12,0.05,0.06893936369805596,25051,1727
50000,1,0.12,0.1,0.07851981956808111,25051,1967
50000,1,0.12,0.15000000000000002,0.08989661091373598,25051,2252
50000,1,0.12,0.2,0.1050257474751507,25051,2631
50000,1,0.12,0.25,0.1150852261386771,25051,2883
50000,1,0.12,0.30000000000000004,0.12546405333120433,25051,3143
50000,1,0.12,0.35000000000000003,0.13668117041235878,25051,3424
50000,1,0.12,0.4,0.1484571474192647,25051,3719
50000,1,0.12,0.45,0.15664045347491118,25051,3924
50000,1,0.12,0.5,0.16793740768831583,25051,4207
50000,1,0.12,0.55,0.1816294758692268,25051,4550
50000,1,0.12,0.6000000000000001,0.19196838449562892,25051,4809
50000,1,0.12,0.65,0.20482216278791265,25051,5131
50000,1,0.12,0.7000000000000001,0.2099716578180512,25051,5260
50000,1,0.12,0.75,0.22669753702447007,25051,5679
50000,1,0.12,0.8,0.24190651071813501,25051,6060
50000,1,0.12,0.8500000000000001,0.24410203185501578,25051,6115
50000,1,0.12,0.9,0.2554788232006706,25051,6400
50000,1,0.12,0.9500000000000001,0.2660572432238234,25051,6665
50000,1,0.12,1.0,0.27475949063909627,25051,6883
50000,1,0.13,0.0,0.06454832142429444,25051,1617
50000,1,0.13,0.05,0.07408885872819448,25051,1856
50000,1,0.13,0.1,0.08354955889984432,25051,2093
50000,1,0.13,0.15000000000000002,0.09456708315037324,25051,2369
50000,1,0.13,0.2,0.10889784838928586,25051,2728
50000,1,0.13,0.25,0.11983553550756457,25051,3002
50000,1,0.13,0.30000000000000004,0.12941599137758972,25051,3242
